Day_of_Week,Time_of_Day,Weather,Mood,Social_Context,Location,Sleep_Hours,Work_Intensity,Temperature_Preference,Milk_Type,Sugar_Level,Caffeine_Strength,Cup_Size,Spend_Amount_USD,Coffee_Type
Wednesday,Morning,Rainy,Stressed,With Friends,Office,5.6,Medium,Hot,Whole Milk,Low,Strong,Medium,5.76,Espresso
Sunday,Morning,Cloudy,Tired,With Friends,Office,6.8,Medium,Hot,Oat Milk,Medium,Strong,Medium,5.08,Espresso
Friday,Evening,Cloudy,Relaxed,Alone,Home,7.7,Medium,Iced,Oat Milk,Low,Strong,Medium,7.46,Cold Brew
Friday,Morning,Sunny,Stressed,With Colleague,Office,5.4,Medium,Iced,None (Black),Low,Medium,Medium,2.77,Espresso
Tuesday,Morning,Sunny,Tired,With Friends,Office,7.7,Medium,Iced,Almond Milk,Medium,Medium,Large,4.96,Americano
Tuesday,Afternoon,Sunny,Melancholic,Alone,On-the-Go,6.6,Medium,Hot,Almond Milk,None,Medium,Small,2.96,Cold Brew
Monday,Morning,Sunny,Energetic,With Colleague,Home,8.1,Medium,Iced,Whole Milk,Medium,Medium,Small,3.3,Cold Brew
Saturday,Afternoon,Rainy,Tired,Alone,Office,6.2,Low,Hot,Whole Milk,Medium,Medium,Medium,4.42,Americano
Friday,Morning,Cloudy,Stressed,With Friends,Cafe,7.1,High,Hot,None (Black),Low,Medium,Medium,3.28,Espresso
Friday,Morning,Sunny,Tired,Alone,Cafe,6.4,High,Hot,Whole Milk,Low,Medium,Medium,7.32,Espresso
Monday,Morning,Sunny,Relaxed,With Colleague,On-the-Go,6.4,Medium,Iced,Whole Milk,Low,Strong,Medium,7.23,Americano
Sunday,Morning,Sunny,Relaxed,Alone,Cafe,6.9,Medium,Hot,Oat Milk,High,Medium,Small,4.18,Cappuccino
Saturday,Evening,Cloudy,Melancholic,With Friends,On-the-Go,7.3,Medium,Iced,Whole Milk,None,Decaf,Small,5.7,Americano
Tuesday,Morning,Sunny,Energetic,Alone,Office,4.6,Medium,Iced,Whole Milk,Low,Medium,Medium,5.17,Americano
Tuesday,Afternoon,Rainy,Energetic,With Friends,Office,8.7,Medium,Hot,None (Black),Medium,Medium,Large,6.58,Americano
Tuesday,Morning,Sunny,Relaxed,With Colleague,Home,3.7,Low,Iced,None (Black),High,Medium,Medium,5.64,Latte
Wednesday,Morning,Cold/Snowy,Tired,Alone,Home,5.5,Medium,Hot,None (Black),Medium,Strong,Medium,2.5,Espresso
Thursday,Evening,Cold/Snowy,Energetic,With Friends,Home,6.4,Low,Hot,None (Black),Medium,Medium,Large,6.32,Espresso
Wednesday,Morning,Sunny,Energetic,Alone,Home,7.1,Medium,Hot,Whole Milk,None,Strong,Medium,6.23,Latte
Tuesday,Afternoon,Sunny,Tired,With Colleague,Home,8.9,High,Iced,Oat Milk,Low,Medium,Medium,5.05,Iced Latte
Friday,Night,Rainy,Energetic,Alone,Home,3.7,Medium,Hot,Whole Milk,None,Medium,Large,7.01,Decaf Latte
Monday,Afternoon,Sunny,Relaxed,With Colleague,Home,5.7,Low,Iced,Whole Milk,Medium,Strong,Medium,7.04,Frappuccino
Tuesday,Evening,Cloudy,Relaxed,With Colleague,On-the-Go,3.3,High,Iced,Whole Milk,Medium,Decaf,Medium,5.12,Cold Brew
Wednesday,Morning,Cloudy,Tired,Alone,Home,6.5,High,Hot,None (Black),Medium,Decaf,Large,5.54,Espresso
Thursday,Morning,Cloudy,Tired,Alone,Cafe,6.9,High,Hot,Whole Milk,Medium,Light,Large,7.48,Americano
Saturday,Morning,Cloudy,Tired,Alone,Home,8.9,Medium,Iced,None (Black),Low,Medium,Medium,3.99,Espresso
Tuesday,Afternoon,Sunny,Relaxed,With Colleague,On-the-Go,6.7,Low,Hot,Whole Milk,None,Light,Small,4.12,Iced Latte
Thursday,Night,Sunny,Tired,Alone,On-the-Go,8.1,High,Iced,None (Black),Low,Strong,Medium,3.41,Decaf Latte
Friday,Morning,Cloudy,Stressed,Alone,Cafe,7.4,Medium,Iced,None (Black),None,Medium,Medium,6.98,Americano
Monday,Afternoon,Sunny,Tired,With Colleague,Cafe,5.8,High,Hot,Whole Milk,Medium,Medium,Medium,6.22,Iced Latte
Friday,Morning,Cloudy,Stressed,Alone,Home,4.4,Medium,Iced,Almond Milk,None,Medium,Medium,3.03,Espresso
Tuesday,Afternoon,Sunny,Energetic,With Friends,On-the-Go,6.9,Medium,Hot,Whole Milk,Medium,Medium,Large,7.41,Frappuccino
Monday,Morning,Sunny,Relaxed,Alone,On-the-Go,4.3,High,Iced,Oat Milk,Medium,Medium,Medium,6.15,Cappuccino
Sunday,Night,Cold/Snowy,Tired,Alone,On-the-Go,8.4,Medium,Hot,Whole Milk,Low,Medium,Large,6.75,Macchiato
Sunday,Afternoon,Sunny,Stressed,With Colleague,Cafe,6.3,Low,Iced,Whole Milk,None,Medium,Small,2.74,Iced Latte
Saturday,Morning,Cold/Snowy,Tired,Alone,Office,8.3,Low,Hot,Whole Milk,Low,Medium,Small,5.02,Espresso
Wednesday,Morning,Cold/Snowy,Stressed,Alone,On-the-Go,5.8,Medium,Iced,Oat Milk,Low,Medium,Medium,5.99,Espresso
Monday,Morning,Cloudy,Relaxed,With Colleague,Home,6.9,Low,Hot,None (Black),Medium,Strong,Small,5.21,Latte
Friday,Morning,Cloudy,Tired,Alone,Office,6.8,Medium,Hot,None (Black),None,Light,Medium,5.83,Americano
Wednesday,Morning,Rainy,Relaxed,On a Date,Home,6.4,Medium,Hot,None (Black),Medium,Strong,Large,6.59,Cold Brew
Monday,Evening,Cold/Snowy,Stressed,On a Date,On-the-Go,5.9,High,Iced,Whole Milk,Medium,Medium,Medium,4.37,Americano
Thursday,Afternoon,Sunny,Tired,Alone,Home,7.1,Medium,Hot,Oat Milk,None,Medium,Medium,6.74,Americano
Monday,Afternoon,Rainy,Energetic,Alone,Home,5.1,High,Iced,None (Black),Medium,Medium,Medium,3.31,Americano
Sunday,Morning,Rainy,Tired,With Friends,Office,4.7,Low,Iced,Whole Milk,Medium,Medium,Small,3.85,Espresso
Tuesday,Evening,Rainy,Stressed,Alone,Cafe,8.4,Medium,Iced,Oat Milk,Medium,Light,Medium,2.72,Americano
Friday,Afternoon,Rainy,Relaxed,Alone,Office,7.6,Low,Hot,Whole Milk,None,Strong,Large,4.32,Cappuccino
Wednesday,Morning,Sunny,Tired,With Friends,Home,6.6,Medium,Iced,Whole Milk,None,Medium,Medium,4.4,Americano
Thursday,Afternoon,Rainy,Energetic,Alone,Home,9.0,High,Hot,Oat Milk,None,Strong,Medium,6.53,Espresso
Thursday,Afternoon,Cold/Snowy,Relaxed,With Colleague,Cafe,6.1,High,Iced,Whole Milk,Low,Medium,Large,5.77,Cappuccino
Tuesday,Morning,Sunny,Melancholic,Alone,On-the-Go,8.5,Medium,Iced,Whole Milk,Medium,Light,Medium,4.68,Cold Brew
Sunday,Morning,Cold/Snowy,Energetic,Alone,Cafe,6.8,Medium,Hot,None (Black),Medium,Medium,Small,5.76,Americano
Saturday,Morning,Cloudy,Melancholic,Alone,Office,5.0,High,Hot,None (Black),High,Decaf,Medium,2.76,Latte
Sunday,Morning,Cloudy,Energetic,On a Date,On-the-Go,9.3,High,Hot,Whole Milk,None,Strong,Medium,3.4,Latte
Sunday,Evening,Rainy,Energetic,With Friends,Office,8.0,High,Hot,Whole Milk,None,Strong,Medium,5.63,Espresso
Friday,Evening,Cloudy,Relaxed,With Colleague,Office,6.3,Medium,Iced,Almond Milk,Medium,Medium,Medium,5.71,Cold Brew
Sunday,Afternoon,Sunny,Energetic,Alone,Office,7.6,High,Hot,Almond Milk,None,Medium,Small,6.37,Cold Brew
Monday,Morning,Cloudy,Energetic,Alone,Office,5.9,Low,Iced,Oat Milk,Low,Medium,Medium,4.51,Espresso
Tuesday,Morning,Sunny,Energetic,Alone,Cafe,7.7,Medium,Hot,None (Black),Low,Strong,Medium,6.11,Latte
Monday,Afternoon,Cold/Snowy,Relaxed,Alone,Office,3.0,Low,Iced,Almond Milk,None,Medium,Medium,5.92,Latte
Wednesday,Afternoon,Cold/Snowy,Relaxed,With Friends,Office,5.0,Medium,Iced,Whole Milk,Medium,Strong,Large,7.32,Cappuccino
Wednesday,Morning,Sunny,Energetic,With Friends,Home,8.0,High,Iced,Whole Milk,Low,Medium,Large,3.58,Cold Brew
Tuesday,Afternoon,Sunny,Tired,Alone,Home,6.1,High,Hot,Whole Milk,Medium,Strong,Medium,5.26,Flat White
Saturday,Evening,Cloudy,Energetic,On a Date,Office,6.8,High,Hot,None (Black),Medium,Strong,Medium,5.51,Latte
Wednesday,Morning,Sunny,Stressed,Alone,Home,4.5,Medium,Hot,None (Black),None,Strong,Medium,7.49,Americano
Tuesday,Morning,Cold/Snowy,Tired,On a Date,Home,9.3,Medium,Hot,Oat Milk,High,Medium,Medium,3.51,Espresso
Thursday,Afternoon,Sunny,Relaxed,Alone,Cafe,8.3,Medium,Hot,Whole Milk,Low,Light,Large,5.12,Cappuccino
Monday,Morning,Sunny,Energetic,Alone,Cafe,6.2,Medium,Iced,Whole Milk,High,Medium,Medium,4.23,Americano
Saturday,Morning,Cold/Snowy,Tired,Alone,Cafe,5.9,High,Hot,Whole Milk,None,Medium,Medium,5.13,Americano
Monday,Morning,Cloudy,Tired,Alone,Office,8.0,Medium,Hot,Almond Milk,Medium,Strong,Medium,3.66,Espresso
Sunday,Morning,Cloudy,Tired,With Friends,On-the-Go,9.5,Medium,Hot,Whole Milk,Low,Decaf,Medium,2.74,Americano
Saturday,Afternoon,Sunny,Melancholic,Alone,On-the-Go,7.9,Medium,Hot,Whole Milk,Medium,Medium,Medium,5.36,Latte
Tuesday,Afternoon,Cloudy,Tired,Alone,Cafe,9.8,High,Hot,None (Black),Medium,Light,Medium,4.18,Latte
Monday,Morning,Rainy,Tired,With Friends,Office,5.1,Medium,Iced,None (Black),Low,Strong,Small,3.41,Espresso
Saturday,Evening,Rainy,Energetic,With Friends,Office,5.3,Medium,Hot,Almond Milk,High,Light,Small,4.12,Cold Brew
Friday,Evening,Cloudy,Tired,With Colleague,On-the-Go,4.7,High,Iced,Whole Milk,Low,Medium,Medium,2.75,Cappuccino
Friday,Evening,Rainy,Tired,Alone,Home,7.2,Medium,Hot,Whole Milk,None,Medium,Medium,7.25,Espresso
Saturday,Morning,Rainy,Tired,With Friends,Home,6.8,High,Iced,Whole Milk,Medium,Medium,Small,5.41,Espresso
Monday,Morning,Sunny,Energetic,With Friends,Office,6.3,Medium,Hot,Oat Milk,Medium,Strong,Large,6.57,Americano
Wednesday,Night,Cloudy,Stressed,Alone,Home,7.7,Medium,Iced,Whole Milk,Low,Light,Medium,4.62,Macchiato
Monday,Afternoon,Sunny,Energetic,Alone,On-the-Go,8.3,High,Hot,Whole Milk,Low,Light,Large,7.02,Cappuccino
Saturday,Morning,Cloudy,Energetic,Alone,Office,4.2,Medium,Hot,Whole Milk,High,Light,Small,4.92,Cold Brew
Friday,Morning,Sunny,Melancholic,Alone,Office,5.6,Medium,Hot,None (Black),Medium,Medium,Small,5.37,Latte
Wednesday,Morning,Rainy,Energetic,Alone,Cafe,7.7,Medium,Iced,Almond Milk,None,Medium,Medium,4.96,Americano
Monday,Evening,Cloudy,Tired,Alone,Office,5.8,Medium,Iced,Almond Milk,None,Medium,Small,6.17,Espresso
Wednesday,Afternoon,Sunny,Tired,With Friends,Home,5.3,Medium,Hot,Almond Milk,High,Medium,Large,5.33,Frappuccino
